AU,悲伤_mean,积极_mean,中性_mean,悲伤_std,积极_std,中性_std,F_stat,p_value
AU14_r,1.317039329207427,1.712443041449355,1.8896308539944906,0.34515240737774905,0.2057404675206053,0.38894435973657726,3659.3499575780684,0.0
AU06_r,1.996990417248952,1.9319873730441945,1.6270192837465565,0.2658690667580938,0.17922869135360586,0.284442109536763,1675.581619752094,0.0
AU04_r,1.486112996606109,1.2034147680483118,1.4869421487603307,0.289577183333892,0.16652090639352482,0.29205091156379753,1572.9465577729861,0.0
AU12_r,0.7525873427829907,0.7893713972001097,0.45482093663911854,0.3499448001525806,0.23290728422878126,0.38804114746201934,707.1573153293509,1.3206099496749871e-294
AU10_r,1.9696705929327212,2.0901894043370848,1.7549256198347107,0.3373973099997046,0.20281519175560916,0.35314234010371387,696.0845393367895,3.386649385084697e-290
AU07_r,3.1417498502695147,2.8917897337359317,3.0331790633608815,0.3631349087886097,0.3080541726728221,0.4684760809899784,635.8669857704105,4.0664826313400414e-266
AU17_r,0.4755579956079058,0.26962393631622295,0.4306446280991735,0.3489634324989605,0.19121940264680498,0.33709187815323094,562.8818403955822,1.0649762601288677e-236
AU15_r,0.1572180075863446,0.07790557233049684,0.11480440771349862,0.25059608829369334,0.09771717652041001,0.22963200356322694,178.5351512444275,2.209516801626169e-77
AU25_r,0.49491914553803157,0.32312928904748833,0.3886005509641874,0.6212478333836807,0.33406698177635663,0.5775556192550028,134.3329486495117,1.4476001479584047e-58
AU23_r,0.13135356358554603,0.08032116387592644,0.07510192837465567,0.2522388561953599,0.12828192197859958,0.22534302733551168,96.72559340919753,1.7907658165326e-42
AU45_r,0.2894290277500499,0.2248339280812517,0.1823030303030303,0.46182903600637276,0.36147704377696677,0.3513490516658893,65.71397550948966,3.8133561091736946e-29
AU26_r,0.3340816530245558,0.288528685149602,0.2709641873278237,0.2954197167835393,0.2548712429194547,0.22101221270890964,62.59497688654278,8.408741665879738e-28
AU05_r,0.05643641445398284,0.03941531704639034,0.03353168044077135,0.13190019790594323,0.07697202386727053,0.06586848039729089,49.90839199546559,2.481271968141574e-22
AU20_r,0.10085945298462767,0.07228108701619544,0.11673829201101928,0.2010525061087217,0.12472923644027616,0.2638242702226527,40.352160119211405,3.3176004882782304e-18
AU09_r,0.04478538630465163,0.042541861103486144,0.06047933884297521,0.08151159063055192,0.07176811403540719,0.14127417606840006,27.92372842811699,7.847147505689442e-13
AU01_r,0.1489419045717708,0.16586604446884437,0.1448539944903581,0.21652811930840268,0.24000557148219015,0.2651890913376431,8.470132021994438,0.00021061078742660636
AU02_r,0.08019165502096227,0.07439747460883886,0.07867217630853995,0.16284701021054654,0.1408003791286398,0.17104233997261542,1.7747073220891698,0.16956756813423454
