emotion,AU,mean,std,min,max,cv
悲伤,AU01_r,0.15195522373651488,0.04809318229217892,0.08299591247896129,0.2081533392347792,0.3164957486132286
悲伤,AU02_r,0.08755396636579185,0.026483154754376084,0.05260759798028373,0.12301218323586745,0.30247806985387815
悲伤,AU04_r,1.2090644712247303,0.45347665472608617,0.6436810268515787,1.8600668370355808,0.3750640809639653
悲伤,AU05_r,0.05943387721719491,0.011585786204090506,0.041210026448665546,0.06980574407396478,0.19493572936107562
悲伤,AU06_r,1.437209391723173,0.697436934496177,0.3995165692007797,2.235767151562807,0.48527162326706624
悲伤,AU07_r,1.8231313700648815,0.9237958204025813,1.0923815789473683,3.3591339628208905,0.5067083127255417
悲伤,AU09_r,0.08255084126551188,0.03120691051122316,0.044645347439288295,0.1244490859052487,0.37803261641938946
悲伤,AU10_r,1.99820156585365,0.3332150693595915,1.5914195906432747,2.444508295263285,0.16675748585815914
悲伤,AU12_r,0.5151412521223486,0.37067010900295894,0.09843772541476317,1.0960335168075488,0.71955042908294
悲伤,AU14_r,0.7697720907795446,0.23411348019285005,0.463187134502924,1.0554131012097963,0.3041335000282544
悲伤,AU15_r,0.18721271999396533,0.08292340885712296,0.11146850204376052,0.32504239766081877,0.4429368306800731
悲伤,AU17_r,0.5651779677148709,0.23186288191519988,0.39993709455474735,0.9652480506822612,0.41024755945931246
悲伤,AU20_r,0.14345144176218752,0.026028411597760814,0.11155396107725575,0.18109649122807017,0.18144405715287598
悲伤,AU23_r,0.1955531455209785,0.027882903428957138,0.16703656379005308,0.22725354652560714,0.14258478611874809
悲伤,AU25_r,0.7113698801321753,0.4117038243770074,0.3591910752899548,1.413357778312094,0.5787479001788932
悲伤,AU26_r,0.7285066688746212,0.15583655409023633,0.4677899085275893,0.8595263157894737,0.21391232331609086
悲伤,AU45_r,0.1767682454149843,0.04399996881320252,0.1332691173579713,0.24292957607947277,0.24891330855215205
积极,AU01_r,0.13649014926357522,0.04045312416767554,0.09527846293651825,0.2022265726964239,0.29638127283132193
积极,AU02_r,0.09768085805982865,0.04205804590496108,0.06422952096585746,0.1698381623596972,0.43056589326028344
积极,AU04_r,0.9841716378502041,0.5374447485149306,0.25476115896632734,1.5990846153846154,0.5460884340143243
积极,AU05_r,0.0547995572836133,0.015056826464730477,0.04224587822926133,0.079997389715479,0.2747618267571829
积极,AU06_r,1.4207823563419368,0.7285804264340895,0.3073628205128205,2.3395358123284256,0.5128022762824509
积极,AU07_r,1.8263434895601522,0.6942798151044342,1.065547791365111,2.6891542678151916,0.38014744711119
积极,AU09_r,0.06268903992221296,0.0239926744325372,0.04107062640379336,0.10335000000000001,0.38272518549188594
积极,AU10_r,1.7913438335838634,0.7297912092775779,0.8510154006786739,2.685155134363235,0.4073987336186133
积极,AU12_r,0.5712238498127528,0.5374245821592509,0.21360219263899766,1.4993161966558524,0.9408300832246741
积极,AU14_r,0.7511326081218895,0.1843303186209615,0.627745034402181,1.0697179935113552,0.245403164005695
积极,AU15_r,0.16850450796515046,0.027196808993423974,0.14673975463325506,0.2145320005192782,0.1614010765756411
积极,AU17_r,0.5794685544681675,0.17593985220022412,0.40338158223109555,0.8155822406854473,0.30362277787739594
积极,AU20_r,0.1176049361748222,0.025874944345871443,0.0883254304966309,0.15733846153846154,0.22001580195075993
积极,AU23_r,0.10332817248680168,0.04348080511410083,0.04729473421512354,0.16280866614460976,0.42080300142397975
积极,AU25_r,0.5413282819386845,0.4339025020337052,0.23719394413991124,1.2900272621056732,0.8015515104434404
积极,AU26_r,0.602290022363823,0.19159194913022304,0.30895327590707383,0.846124886407893,0.31810579955862
积极,AU45_r,0.17992085613660044,0.061671788022508674,0.13398076923076924,0.28504829026363876,0.3427717572424505
中性,AU01_r,0.15004685477617608,0.0755424645759917,0.08179013939081053,0.27491638795986617,0.5034591673959304
中性,AU02_r,0.08449383562165702,0.03240523185603686,0.05288719669592154,0.12647580095432856,0.3835218465065269
中性,AU04_r,1.074988444744878,0.5767727157100325,0.5837708066581306,2.0101535880227153,0.5365385260926365
中性,AU05_r,0.05289061478566788,0.007034399600727655,0.04133802816901408,0.060277209725062494,0.13299901370467362
中性,AU06_r,1.5728269862387902,0.7106653859403874,0.4759418314019542,2.4142694889003615,0.45183951709771375
中性,AU07_r,2.010550846418711,0.8639890827802561,1.1250965689615995,3.3382904553640342,0.42972754671648056
中性,AU09_r,0.05127942715436962,0.019001349507197576,0.03197823303457106,0.08196546239491025,0.37054527637363505
中性,AU10_r,2.2009068653546304,0.35554933823591717,1.8324698932060897,2.743508322663252,0.16154674413205022
中性,AU12_r,0.6400335143570396,0.3443813399272796,0.3596350832266325,1.2154788332472894,0.538067667086521
中性,AU14_r,0.549514315690541,0.2178434583899051,0.2855121638924456,0.8627762003097574,0.3964290868676543
中性,AU15_r,0.290489630267329,0.15920996326381037,0.11791293213828424,0.5426834810270393,0.5480745151463554
中性,AU17_r,0.6052157518712065,0.12078331152962155,0.5229109853357345,0.8136309929561463,0.19957066741270962
中性,AU20_r,0.1828221223307301,0.11271222270674912,0.07335570469798657,0.36977505112474435,0.6165130415828435
中性,AU23_r,0.1790940445268926,0.07632553667229704,0.06546979865771813,0.2745710627400768,0.4261757384167851
中性,AU25_r,0.5431066624909359,0.14110095670426032,0.3117178626742385,0.6688538718806277,0.25980339857571755
中性,AU26_r,0.5028841701630578,0.14830280212605884,0.3624647887323944,0.7474255850942968,0.2949044947626257
中性,AU45_r,0.20731764875783923,0.06709806185331334,0.13597573567372226,0.28174505794137694,0.32364857625646876
