AU,mean,std,min,max,cv
AU12_r,0.31148390065544423,0.224631774887432,0.09843772541476317,0.7227332667332667,0.7211665656386976
AU10_r,1.2002004613883783,0.7840429367349089,0.3271800971354941,2.444508295263285,0.6532599861092678
AU25_r,0.6446179332110319,0.39687739770446256,0.27663836163836164,1.413357778312094,0.6156784930377275
AU06_r,0.7248368584635086,0.4316344819329815,0.15901080384577262,1.2385164703053617,0.595491905375714
AU17_r,0.5112757484560998,0.2478513194324646,0.21574041034790367,0.9652480506822612,0.4847703419943184
AU15_r,0.16663841871274931,0.08064265312883047,0.10877341659232828,0.32504239766081877,0.4839379403128037
AU04_r,0.781189930877118,0.3778081850069929,0.21505748835365252,1.3604668615984405,0.48363166251105016
AU14_r,0.5118832447966357,0.23556843297855498,0.2267385271087323,0.8980299700299699,0.46019953841650574
AU07_r,1.1101866527103152,0.5004261638531037,0.40710328080087216,1.7336180572252946,0.4507585842717581
AU23_r,0.1519622337603951,0.06607664677667174,0.06698087025473287,0.22725354652560714,0.43482281841722215
AU20_r,0.11332718469624259,0.04565771628215214,0.06292397660818713,0.18109649122807017,0.4028840600296492
AU26_r,0.586807847029292,0.22521510808136844,0.3222757242757242,0.8595263157894737,0.38379702865515064
AU09_r,0.060858664616720945,0.022383140583282567,0.034083159877093865,0.09919883040935672,0.36778888797919485
AU02_r,0.08928793829723321,0.031228640082412162,0.05260759798028373,0.12991908091908091,0.3497520569738573
AU01_r,0.1371509581985167,0.0451205546482685,0.08299591247896129,0.19789410589410592,0.3289846111243318
AU05_r,0.05576223760857159,0.01732369598164491,0.037244028149469734,0.08645754245754246,0.31067074645121434
AU45_r,0.1670577391579156,0.020845841173397557,0.1407622024525126,0.19290861334126277,0.12478225359971197
