,悲伤-中性,悲伤-积极,中性-积极
AU01_r,0.014457294344677851,-0.20082257316795898,-0.21527986751263684
AU02_r,-0.00046906233977467293,-0.15583909863732284,-0.15537003629754817
AU04_r,0.10112152945687103,-0.3184661843688188,-0.4195877138256898
AU05_r,0.03748847743708694,0.026197929852191576,-0.011290547584895366
AU06_r,-0.7668992944849249,-0.8061737294845859,-0.03927443499966099
AU07_r,-1.1813190955345911,-0.902281500068458,0.27903759546613327
AU09_r,0.00680666774128625,-0.11494896118849726,-0.12175562892978352
AU10_r,-0.05872414424308989,-1.1173763783462969,-1.058652234103207
AU12_r,0.28868374583243406,-0.6530020422362621,-0.9416857880686962
AU14_r,0.00289110005527916,-0.0034738141983053227,-0.006364914253584483
AU15_r,-0.0013862410444573786,-0.08934483550137355,-0.08795859445691617
AU17_r,-0.08400574466128083,-0.7607449601087121,-0.6767392154474312
AU20_r,0.00033257654615444915,-0.054380398634696445,-0.054712975180850894
AU23_r,-0.0279895871184076,-0.18757564130119403,-0.15958605418278643
AU25_r,-0.07457046635757691,-1.0127450104613906,-0.9381745441038136
AU26_r,-0.026356065180230995,-0.22307098499940864,-0.19671491981917763
AU45_r,0.08189257811254907,0.09786244332021204,0.01596986520766297
