AU,t_value,p_value,abs_t
AU12_r,-405.0481530928123,0.0,405.0481530928123
AU06_r,-216.24678125010766,0.0,216.24678125010766
AU10_r,-212.9223488378605,0.0,212.9223488378605
AU14_r,89.54706921888577,0.0,89.54706921888577
AU25_r,-19.21318974566859,2.519218270876852e-80,19.21318974566859
AU23_r,-12.605246520753266,4.623782273833658e-36,12.605246520753266
AU45_r,-12.330577530869776,1.3519151299669861e-34,12.330577530869776
AU07_r,-9.509956979344562,2.5231586835487114e-21,9.509956979344562
AU04_r,-8.170463607189578,3.5832111359362905e-16,8.170463607189578
AU09_r,-8.141821617393207,4.532034895459321e-16,8.141821617393207
AU05_r,-6.152992029961155,7.999010565175648e-10,6.152992029961155
AU26_r,-6.068148374644463,1.3576182313991037e-09,6.068148374644463
AU01_r,-3.7130163783825223,0.00020630684430250005,3.7130163783825223
AU15_r,-3.423168706337895,0.0006223068605077907,3.423168706337895
AU20_r,1.859210532660784,0.06303691258450947,1.859210532660784
AU17_r,1.8189852402313906,0.0689540249396888,1.8189852402313906
AU02_r,-0.15895813144500004,0.8737061925920109,0.15895813144500004
